Catégorie;Niveau;Libellé;juste;faux1;faux2;faux3;faux4;feedback
;;Quand le directeur est entré, ils se sont mis debouts.;incorrect;correct;;;;debout
;;Le chien fait le beau assis sur ses pattes arrières.;correct;incorrect;;;;
;;Cette somme t'est dûe, tu la mérites.;incorrect;correct;;;;due
;;La TVA est inclue dans le prix du manteau.;incorrect;correct;;;;incluses
;;Cette personne a l'air fâché.;incorrect;correct;;;;fâchée
;;Le joueur, prudent, surveille ses arrières.;correct;incorrect;;;;
;;Lorsque la réunion est terminée, on rédige le compte-rendu.;incorrect;correct;;;;compte rendu
;;Roméo et Juliette se sont plus au premier regard.;incorrect;correct;;;;plu
;;Ils se sont faits l'écho de cette information.;incorrect;correct;;;;fait
;;Mon grand-père est né il y a quelque cent ans.;correct;incorrect;;;;
;;Nous te soutiendrons, quoique tu décides.;incorrect;correct;;;;quoi que 
;;J'ai bien réfléchi, mais je reste sceptique quant à la décision que tu as prise.;correct;incorrect;;;;
;;L'association de ces produits constitue un mélange détonant.;correct;incorrect;;;;
;;C'est une personne digne de foie.;incorrect;correct;;;;foi
;;Le technicien en téléphonie a solutionné mon problème d'internet.;incorrect;correct;;;;résolu
;;Je ne comprends pas ce que vous dîtes !;incorrect;correct;;;;dites
;;Les gendarmes se sont fait aider de la brigade cynéphile.;incorrect;correct;;;;cynophile
;;Claude a pensé à amener le dessert.;incorrect;correct;;;;apporter
;;L'école va bientôt rouvrir.;correct;incorrect;;;;
;;Il faut indiquer votre formation sur votre CV, quelle que qu'elle soit;correct;incorrect;;;;
;;Quant je suis arrivé à l'aéroport, j'ai oublié un baguage.;incorrect;correct;;;;bagage
;;Cet appartement possède des pièces trop exigües.;incorrect;correct;;;;exiguës
;;Cette famille a su reserrer ses liens.;incorrect;correct;;;;resserrer
;;Maître Corbeau, par l'odeur alléchée, lui tint à peu près ce langage.;incorrect;correct;;;;alléché
;;Les rond-points fleurissent à l'entrée des villes.;incorrect;correct;;;;ronds-points
;;Nos sac à dos pèsent trop lourds.;incorrect;correct;;;;lourd
;;L'appartement resté vaquant longtemps, est enfin loué.;incorrect;correct;;;;vacant
;;Ils se sont parlés hier.;incorrect;correct;;;;parlé
;;Le Maire et sont équipe vous souhaitent une Bonne Année.;incorrect;correct;;;;son
;;Et voilà, les vacances c'est finit !;incorrect;correct;;;;fini
;;Quelle tempête il a fait hier !;correct;incorrect;;;;
;;LE professeur m'a pénalisé car j'ai fait un contresens.;correct;incorrect;;;;
;;Les pyramides sont de vrais chefs-d'œuvre.;correct;incorrect;;;;
;;elle s'est fait forte d'être arrivée avant moi.;incorrect;correct;;;;fort
;;A la fin du roman, le détective a découvert le poteau rose.;incorrect;correct;;;;pot aux roses
;;Il a réduit sa consommation de pain de quatre-vingt pour cent;incorrect;correct;;;;quatre-vingts
;;Avoir un enfant ou privilégier sa carrière, pour les femmes, quel dilemne !;incorrect;correct;;;;dilemme
;;On va recueillir l'avis des participants à la demie-journée;incorrect;correct;;;;demi
;;Ce tuteur à tomates garantit un bon maitient.;incorrect;correct;;;;maintien
;;Elle coasse fort cette grenouille reinette !;incorrect;correct;;;;rainette
;;Où donc faut-il déposer nos affaires ?;correct;incorrect;;;;
;;Marcel a signé le sous saint privé chez le notaire;incorrect;correct;;;;seing
;;Si six scies scient six citrons, six cent six scies scieront six cent six citrons.;correct;incorrect;;;;
;;Le journaliste a trufé son article de fautes de français.;incorrect;correct;;;;truffé
;;Le client a versé un accompte conséquent pour l'achat de son véhicule électrique;incorrect;correct;;;;acompte
;;Pour louer son appartement Marie a versé des ares au propriétaire.;incorrect;correct;;;;arrhes
;;Quelle joie pour les étudiants admis à l'examen, il se sont félicité des heures durant.;incorrect;correct;;;;félicités
;;Mon chien a renversés les quilles que j'avais si bien alignées.;incorrect;correct;;;;renversé
;;Anticonstitutionnellement est le mot le plus long de la langue Française.;incorrect;correct;;;;française
;;Quand l'employé à commencé sa tâche, il nettoie la gondole.;incorrect;correct;;;;a
;;"""Science sans conscience n'est que ruine de l'âme"" (Rabelais)";correct;incorrect;;;;
;;Jadis nous utilisions des ordinateurs gros comme des immeubles;incorrect;correct;;;;Naguère
;;Les  roses rouges sangs du bouquet, attiraient le regard dès le vestibule.;correct;incorrect;;;;
;;Le perceur de coffres-forts se mettait à l'œuvre dès minuit.;correct;incorrect;;;;
;;Les renardeaux, il les a vu courir dans la neige au petit matin.;incorrect;correct;;;;vus
;;La pièce que j'ai vue jouer était excellente;incorrect;correct;;;;vu
